marca_id,modelo_id,ano_modelo,data_venda,valor_venda,taxa_servico,valor_total,km_rodados,placa,cliente,cpf,estado,preco_fipe,marca,preco_fipe_num,lucro,ano
59,5940, 2011-3  ,2025-10-01,88629.0,1200.0,89829.0,120000,ABC1D23,Maria Luiza,12345678909,SP,"72434,00",VW - VolksWagen,72434.0,-16195.0, 2011
59,5940,2021-3,,8862900.0,120000.0,8982900.0,120000,ABC1D23,JOAO SILVA,12345678909,SP,"149786,00",VW - VolksWagen,149786.0,-8713114.0,2021
59,5940,2020-3,,88.629,1200.0,1288.629,120000,ABC1D23,joao alberto silva,12345678910,RJ,"141217,00",VW - VolksWagen,141217.0,141128.371,2020
21,4828,2010-5,,45990.0,900.0,46890.0,98000,DEF4K56,Maria Souza Franco,98765432100,SP,"25693,00",Fiat,25693.0,-20297.0,2010
21,4828,2010-5,,45990.0,900.0,46890.0,98000,DEF4K56,maria augusta souza,98765432100,SP,"25693,00",Fiat,25693.0,-20297.0,2010
23,1044,2003-1,,73500.0,1000.0,74500.0,65000,GHI7L89,carlos pereira,74185296311,RJ,"16875,00",GM - Chevrolet,16875.0,-56625.0,2003
21,4828,2010-5,2025-10-07,45990.0,900.0,46890.0,98000,STU8V90,Ricardo Alves,75315985277,RJ,"25693,00",Fiat,25693.0,-20297.0,2010
21,4828,2010-5,,45990.0,900.0,46890.0,98000,STU8V90,RICARDO ALVES,75315985277,XX,"25693,00",Fiat,25693.0,-20297.0,2010
59,5940,2011-3,2025-10-01,88629.0,1200.0,89829.0,120000,ABC1D23,Joao Silva,12345678909,SP,"72434,00",VW - VolksWagen,72434.0,-16195.0,2011
59,5940,2021-3,,8862900.0,120000.0,8982900.0,120000,ABC1D23,JOAO SILVA,12345678909,SP,"149786,00",VW - VolksWagen,149786.0,-8713114.0,2021
